latex_pred,latex_true,pron,cer,wer,rouge1,chrf,chrfpp,bleu,sbleu,meteor,cer_lower,wer_lower,rouge1_lower,chrf_lower,chrfpp_lower,bleu_lower,sbleu_lower,meteor_lower
 b x^2 - z x + c = 0,b x^2 - z x + c = 0,бэ икс в квадрате минус зэд икс плюс цэ равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 c x^2 + z x - a = 0,c x^2 + z x - a = 0,цэ икс в квадрате плюс зэд икс минус а равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 d x^2 - a x + b = 0,d x^2 - a x + b = 0,дэ икс в квадрате минус а икс плюс бэ равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 g x^2 - j x + h = 0,j x^2 - g x + h = 0,джи икс в квадрате минус жэ икс плюс аш равно нулю,0.10526315789473684,0.2222222222222222,1.0,0.4955687830687831,0.5748015873015873,0.6580370064762463,0.6580370064762466,0.9561042524005487,0.10526315789473684,0.2222222222222222,1.0,0.4955687830687831,0.5748015873015873,0.6580370064762463,0.6580370064762466,0.9561042524005487
 j x^2 - k x + l,j x^2 - k x + l,джи икс в квадрате минус ка икс плюс эль,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 p x^2 - 2q x + r,p x^2 - 2q x + r,пэ икс в квадрате минус два ку икс плюс эр,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 j^3,j^3,джи в кубе,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 i^4,i^4,и в четвертой степени,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 \alpha \cdot \beta,\alpha \times \beta,альфа умножить на бета,0.2631578947368421,0.3333333333333333,0.6666666666666666,0.4773436424977258,0.5372623891671242,0.0,0.3799178428257963,0.3333333333333333,0.2631578947368421,0.3333333333333333,0.6666666666666666,0.4773436424977258,0.5372623891671242,0.0,0.3799178428257963,0.3333333333333333
 \psi^2,\psi^2,пси в квадрате,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.5
 \delta^2,\delta^2,дельта в квадрате,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.5
 \chi^3,\chi^3,хи в степени три,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.5
 \mathrm{e}^{\zeta x + 1},\mathrm{e}^{\zeta x + 1},е в степени дзета икс плюс один,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 \log_{q}{n},\log_{q}{n},логарифм эн по основанию ку,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \log_{s}{p},\log_{s}{p},логарифм пэ по основанию эс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \log{u^x},\log{u^x},логарифм у в степени икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875
 \log{\left(\log{x} \cdot y^n\right)},\log{\left(\log{x} \cdot y^n\right)},логарифм произведения логарифма икс и игрек в степени эн,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \log{\left(\cos^2{(\log{x})} \cdot \mathrm{e}^y\right)},\log{\left(\cos^2{(\log{x})} \cdot \mathrm{e}^y\right)},логарифм произведения квадрата косинуса логарифма икс и экспоненты в степени игрек,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999460101500918,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999460101500918
 a - b \leq c,a - b \leq c,а минус бэ меньше или равно цэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 \frac{a}{b} \leq c,\frac{a}{b} \leq c,а деленного на бэ меньше или равно цэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 x^2 \leq y^2,x^2 \leq y^2,икс в квадрате меньше или равно игрек в квадрате,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815
 \frac{p - q}{r} \leq s,p - q \cdot r \leq s,пэ минус ку умножить на эр меньше или равно эс,0.7,0.5714285714285714,0.8333333333333334,0.29213368137233847,0.32407862001739834,0.0,0.2078060434846712,0.7601351351351351,0.7,0.5714285714285714,0.8333333333333334,0.29213368137233847,0.32407862001739834,0.0,0.2078060434846712,0.7601351351351351
 x + \frac{y}{z} \geq w,x + \frac{y}{z} \geq w,икс плюс игрек деленного на зэд больше или равно дубль вэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 \sqrt{x + \mathrm{e}^y},\sqrt{x + \mathrm{e}^y},корень из суммы икс и экспоненты в степени игрек,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995
 \sqrt{\sin{x} \cdot l},\sqrt{\sin{x} \cdot \mathrm{e}},корень из произведения синуса икс и экспоненты,0.3225806451612903,0.3333333333333333,0.7272727272727272,0.6319489099061241,0.6561013898923549,0.5922251790846559,0.5922251790846557,0.3418803418803419,0.3225806451612903,0.3333333333333333,0.7272727272727272,0.6319489099061241,0.6561013898923549,0.5922251790846559,0.5922251790846557,0.3418803418803419
 \sqrt{10},\sqrt{10},корень из десяти,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875
 \sqrt{23},\sqrt{20},корень из двадцати,0.1111111111111111,1.0,0.5,0.6866402116402116,0.5774801587301588,0.0,0.4272870063962342,0.6388888888888888,0.1111111111111111,1.0,0.5,0.6866402116402116,0.5774801587301588,0.0,0.4272870063962342,0.6388888888888888
 \sqrt{29},\sqrt{29},корень из двадцати девяти,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875
 \frac{a}{b} + \frac{2}{c} - d,\frac{a}{b} + \frac{2}{c} - d,а деленного на бэ плюс два деленного на цэ минус дэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.999898229187869,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.999898229187869
 \arcsin{1},\arcsin{1},арксинус один,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875
 \arcsin{x} + \arcsin{y},\arcsin{x} + \arcsin{y},арксинус икс плюс арксинус игрек,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 \tan{\frac{\pi}{4}},\tan{\frac{\pi}{4}},тангенс пи деленное на четыре,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995
 \sin{\frac{\pi}{6}},\sin{\frac{\pi}{6}},синус пи деленное на шесть,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995
 \cos{\frac{\pi}{3}},\cos{\frac{\pi}{3}},косинус пи деленное на три,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9995
 \frac{\tan{\left(2x\right)}}{\frac{\cos{x}}{2}},\frac{\tan{2x}}{\cos{\frac{x}{2}}},тангенс двойного угла деленное на косинус половинного угла,0.6470588235294118,1.0,0.8750000000000001,0.628583486742862,0.5351499768804077,0.5483030708832773,0.5483030708832777,0.8743523316062176,0.6470588235294118,1.0,0.8750000000000001,0.628583486742862,0.5351499768804077,0.5483030708832773,0.5483030708832777,0.8743523316062176
 \frac{\sin{(x+y)}}{\cos{(x+y)}},\frac{\sin{(xy)}}{\cos{(x+y)}},синус произведения икс и игрек деленное на косинус икс плюс игрек,0.03333333333333333,1.0,0.7692307692307692,0.8983283301187497,0.7362581293311508,0.7947545184555568,0.7947545184555567,0.9402573529411764,0.03333333333333333,1.0,0.7692307692307692,0.8983283301187497,0.7362581293311508,0.7947545184555568,0.7947545184555567,0.9402573529411764
 \frac{\tan^2{x}}{\csc{y}},\frac{\tan^2{x}}{\csc{y}},тангенс в квадрате икс деленное на косеканс игрек,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997724169321802,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997724169321802
 \tan{(x + \frac{\pi}{4})},\tan{\left(x + \frac{\pi}{4}\right)},тангенс суммы икс и пи деленное на четыре,0.3055555555555556,0.6666666666666666,0.8333333333333333,0.557055244042325,0.4942620528753154,0.6333868627416721,0.6333868627416724,0.8817166106949108,0.3055555555555556,0.6666666666666666,0.8333333333333333,0.557055244042325,0.4942620528753154,0.6333868627416721,0.6333868627416724,0.8817166106949108
 9 - 4 = 5,9 - 4 = 5,девять минус четыре равно пять,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 \frac{24}{6} = 4,\frac{24}{6} = 4,двадцать четыре деленное на шесть равно четыре,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 22 - 2 = 20,22 - 2 = 20,двадцать два минус два равно двадцать,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 \frac{48}{8} = 6,\frac{48}{8} = 6,сорок восемь деленное на восемь равно шесть,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 px + q,p x + q,пэ икс плюс ку,0.14285714285714285,0.5,0.4,1.0,0.8160856935366738,0.0,0.0,0.48076923076923084,0.14285714285714285,0.5,0.4,1.0,0.8160856935366738,0.0,0.0,0.48076923076923084
 x^2 + 3x + 4,x^2 + 3x + 4,икс в квадрате плюс три икс плюс четыре,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 x^6 + 1,x^6 + 1,икс в шестой степени плюс один,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815
 x^5 + x^2 - x,x^5 + x^2 - x,икс в пятой степени плюс икс в квадрате минус икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 \Gamma\left(\frac{1}{2}\right) = \sqrt{\pi},\Gamma\left(\frac{1}{2}\right),гамма-функция от половины,0.43333333333333335,2.0,0.8571428571428571,0.9257362234957414,0.8893708636128417,0.6733187455351302,0.67331874553513,0.7725476104922745,0.43333333333333335,2.0,0.8571428571428571,0.9257362234957414,0.8893708636128417,0.6733187455351302,0.67331874553513,0.7725476104922745
 \psi(n),\psi(n),дигамма-функция от эн,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875
 \psi^{(n)}(x+1),\psi^{(n)}(x+1),полигамма-функция от эн и икс плюс один,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 (k+2)!,(k+2)!,ка плюс два факториал,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875
 \left(\frac{n}{2}\right)!,\left(\frac{n}{2}\right)!,половина эн факториал,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 (m + 2)!,(n+2)!,эн плюс два факториал,0.5,3.0,0.5,0.37777777777777777,0.33762093227792433,0.537284965911771,0.537284965911771,0.6084656084656085,0.5,3.0,0.5,0.37777777777777777,0.33762093227792433,0.537284965911771,0.537284965911771,0.6084656084656085
 y_n \cdot n,y_n \cdot n,игрек энное умноженное на эн,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815
 b_1 + b_2,b_1 + b_2,бэ первое плюс бэ второе,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815
 x_1 \cdot x_2,x_1 \cdot x_2,икс первое умноженное на икс второе,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815
 \frac{x_1}{x_2},\frac{x_1}{x_2},икс первое деленное на икс второе,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \prod_{k=0}^{n} b_k,\prod_{k=0}^{энное} b_k,произведение от ка равно нулю до энное бэ ка-того,0.21739130434782608,0.5,0.9090909090909091,0.6405488072815855,0.6270801170961372,0.8003203203844999,0.8003203203845001,0.8819444444444444,0.21739130434782608,0.5,0.9090909090909091,0.6405488072815855,0.6270801170961372,0.8003203203844999,0.8003203203845001,0.8819444444444444
 s_1,s_1,эс первое,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 z_2,z_2,зэд второе,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 p_2,p_2,пэ второе,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
 m_{n+1},m_{n+1},эм эн плюс первое,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875
 m_{n+1},m_{n+1},эм эн плюс один,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9921875
 \frac{a - b}{c - d},\frac{a - b}{c - d},а минус бэ деленное на цэ минус дэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 \frac{m}{n + p},\frac{m}{n + p},эм на эн плюс пэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 \frac{m + n}{p - q},\frac{m + n}{p - q},эм плюс эн на пэ минус ку,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 \frac{a}{b} - \frac{c}{d},\frac{a}{b} - \frac{c}{d},а на бэ минус цэ на дэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998518518518519,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998518518518519
 \frac{m^4}{n + p},\frac{m^4}{n + p},эм в четвертой степени на эн плюс пэ,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 \sqrt[4]{z},\sqrt[4]{z},корень четвертой степени из зэд,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \sqrt[8]{x},\sqrt[8]{x},корень восьмой степени из икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \sqrt[9]{z},\sqrt[9]{z},корень девятой степени из зэд,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \sqrt[14]{z},\sqrt[14]{z},корень четырнадцатой степени из зэд,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \sqrt[25]{x},\sqrt[25]{x},корень двадцать пятой степени из икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9985422740524781
 \sigma = \frac{n}{V},\sigma = \frac{N}{A},Сигма равно эн делить на а,0.1,0.3333333333333333,0.75,0.7110005326917092,0.6957503995187818,0.5348259312838877,0.5348259312838876,0.8819444444444444,0.05,0.3333333333333333,0.75,0.8786267925973807,0.8214700944480355,0.8070557274927982,0.8070557274927979,0.8819444444444444
 \min_{x \in \mathbb{R}^n} f(x),\min_{x \in \mathbb{R}^n} f(x),Минимизировать функцию эф от икс по n-мерным действительным числам,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998177842565598,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998177842565598
 \frac{d^2f}{dx^2} < 0,\frac{d^2f}{dx^2} < 0,Вторая производная функции эф по икс меньше нуля,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 \lim_{x \to a} f(x),\lim_{{x \to a}} f(x),Предел функции эф от икс при икс стремящемся к а,0.09523809523809523,0.5,1.0,0.6462940002761941,0.6323462072494481,0.7176880797428425,0.7176880797428425,0.8360169491525423,0.09523809523809523,0.5,1.0,0.6462940002761941,0.6323462072494481,0.7176880797428425,0.7176880797428425,0.8360169491525423
 \frac{d}{dx} \sin(x),\frac{d}{dx} \sin(x),Производная синуса икс по икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 \lambda \neq 0,\lambda \neq 0,Лямбда не равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815
 a^n + b^n = c^n,a^n + b^n = c^n,А в степени эн плюс Б в степени эн равно Це в степени эн,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 rx^4 + sx^3 + tx^2 + ux + v = w,rx^4 + sx^3 + tx^2 + ux + v = w,Эр икс в четвёртой плюс эс икс в кубе плюс тэ икс в квадрате плюс у икс плюс вэ равно дабл ю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 ux^4 + vx^3 + wx^2 + x/y = z,ux^4 + vx^3 + wx^2 + xx + y = z,У икс в четвёртой плюс вэ икс в кубе плюс дабл ю икс в квадрате плюс икс икс плюс игрек равно зэт,0.12903225806451613,0.2727272727272727,0.8888888888888888,0.7851276723432793,0.7618006446139041,0.7624658586234861,0.7624658586234858,0.49262152777777773,0.12903225806451613,0.2727272727272727,0.8888888888888888,0.7851276723432793,0.7618006446139041,0.7624658586234861,0.7624658586234858,0.49262152777777773
 lz^4,lz^4,Эл умноженное на зэт в четвёртой степени,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
