gt_latex,pr_latex,pron,audio_path
"When $\theta=1$, there is only the layer sharing part in the objective function, and the objective function value is the same as the LDS method."," When $\theta=1$, there is only value sharing part in the objective function and the objective function value is the same as the LDC method.","When theta equals 1, there is only the layer sharing part in the objective function, and the objective function value is the same as the LDS method.",wav_path
"When $\theta=1$, there is only the layer sharing part in the objective function, and the objective function value is the same as the LDS method."," When $\theta=1$, there is only the layer-sharing part in the objective function, and the objective function value is the same as the LDS method.","When <formula_start>theta equals 1<formula_end>, there is only the layer sharing part in the objective function, and the objective function value is the same as the LDS method.",wav_path
"When $\theta=1$, there is only the layer sharing part in the objective function, and the objective function value is the same as the LDS method."," When $\eta=1$, there is only the layer-sharing part in the objective function and the objective function value is the same as the LDS method.","When <formula_start>theta is one<formula_end>, there is only the layer sharing part in the objective function, and the objective function value is the same as the LDS method.",wav_path
"It will be needed to complement the findings of this paper, which apply to $T_{0e}/T_{0i}\lesssim\\0.2$."," It will be needed to complement the findings of this paper, which apply to the ratio $T_{0,\mathrm\\e}/T_{0,\mathrm\\i}\lesssim\\0.2$.","It will be needed to complement the findings of this paper, which apply to the ratio of T subscript 0 e to T subscript 0 i is less than or approximately equal to 0.2.",wav_path
"It will be needed to complement the findings of this paper, which apply to $T_{0e}/T_{0i}\lesssim\\0.2$.", It will be needed to complement the findings of this paper which apply to $T_{0}/T_{0i}\lesssim\\0.2$.,"It will be needed to complement the findings of this paper, which apply to the ratio of T subscript 0 e to T subscript 0 i is less than or approximately equal to 0.2.",wav_path
"It will be needed to complement the findings of this paper, which apply to $T_{0e}/T_{0i}\lesssim\\0.2$.", It will be needed to complement the findings of this paper which apply to $T_{0}^{e}/T_{0}^{i}\le\\0.2$.,"It will be needed to complement the findings of this paper, which apply to <formula_start>T zero e over T zero i is at most 0.2<formula_end>.",wav_path
"It will be needed to complement the findings of this paper, which apply to $T_{0e}/T_{0i}\lesssim\\0.2$.", It will be needed to complement the findings of this paper which apply to $T_{0}/T_{i}\lesssim\\0.2$.,"It will be needed to complement the findings of this paper, which apply to <formula_start>the ratio of T subscript 0 e to T subscript 0 i is less than or approximately equal to 0.2<formula_end>.",wav_path
"It will be needed to complement the findings of this paper, which apply to $T_{0e}/T_{0i}\lesssim\\0.2$."," It will be needed to complement the findings of this paper, which apply to $T_{0}/T_{i}\leq\\0.2$.","It will be needed to complement the findings of this paper, which apply to <formula_start>T zero e over T zero i is at most 0.2<formula_end>.",wav_path
"It will be needed to complement the findings of this paper, which apply to $T_{0e}/T_{0i}\lesssim\\0.2$."," It will be needed to complement the findings of this paper, which apply to $T_{0}/T_{0,i}\lesssim\\0.2$.","It will be needed to complement the findings of this paper, which apply to <formula_start>the ratio of T subscript 0 e to T subscript 0 i is less than or approximately equal to 0.2<formula_end>.",wav_path
"It will be needed to complement the findings of this paper, which apply to $T_{0e}/T_{0i}\lesssim\\0.2$."," It will be needed to complement the findings of this paper which apply to $T_{0,e}/T_{0,i}\lesssim\\0.2$.","It will be needed to complement the findings of this paper, which apply to <formula_start>the ratio of T subscript 0 e to T subscript 0 i is less than or approximately equal to 0.2<formula_end>.",wav_path
"It will be needed to complement the findings of this paper, which apply to $T_{0e}/T_{0i}\lesssim\\0.2$.", It will be needed to complement the findings of this paper which apply to $T_{0}/T_{i}\leq\\0.2$.,"It will be needed to complement the findings of this paper, which apply to <formula_start>T zero e over T zero i is at most 0.2<formula_end>.",wav_path
"Since $(|\nu_{A_{n}}|(O))_{n\in\mathbb\\N}$ is an increasing bounded sequence, it admits limit $\operatorname{L}\leq\\V_{\gamma}(f,O)$."," Since $|\nu_{a_{n}}(f)|(O)$ is an increasing bounded sequence, it admits limit $l\leq\\V_{\Gamma}(f)(n,O)$.","Since the absolute value of nu subscript A sub n evaluated at O for n in the set of natural numbers is an increasing bounded sequence, it admits limit L is less than or equal to the gamma variation of f over O.",wav_path
"Since $(|\nu_{A_{n}}|(O))_{n\in\mathbb\\N}$ is an increasing bounded sequence, it admits limit $\operatorname{L}\leq\\V_{\gamma}(f,O)$."," Since $|\nu_{n}|(o)$ is an increasing bounded sequence, it admits limit $l\leq|\Delta\\F(o)|$.","Since <formula_start>the absolute value of nu subscript A sub n evaluated at O for n in the set of natural numbers<formula_end> is an increasing bounded sequence, it admits limit <formula_start>L is less than or equal to the gamma variation of f over O<formula_end>.",wav_path
"Since $(|\nu_{A_{n}}|(O))_{n\in\mathbb\\N}$ is an increasing bounded sequence, it admits limit $\operatorname{L}\leq\\V_{\gamma}(f,O)$."," Since $|\nu_{a}^{n}|(o)$ is an increasing bounded sequence, it admits limit $l\leq\\v_{\gamma}(f(o))$.","Since <formula_start>absolute value of nu A n evaluated at O where n is in naturals<formula_end> is an increasing bounded sequence, it admits limit <formula_start>L less than or equal to V gamma of f O<formula_end>.",wav_path
"Since $(|\nu_{A_{n}}|(O))_{n\in\mathbb\\N}$ is an increasing bounded sequence, it admits limit $\operatorname{L}\leq\\V_{\gamma}(f,O)$."," Since $|\nu_{n}|(o)$ is an increasing bounded sequence, it admits limit $l\leq|\mathcal\\F/o|^{\gamma}$.","Since <formula_start>the absolute value of nu subscript A sub n evaluated at O for n in the set of natural numbers<formula_end> is an increasing bounded sequence, it admits limit <formula_start>L is less than or equal to the gamma variation of f over O<formula_end>.",wav_path
"Since $(|\nu_{A_{n}}|(O))_{n\in\mathbb\\N}$ is an increasing bounded sequence, it admits limit $\operatorname{L}\leq\\V_{\gamma}(f,O)$."," Since $|(\nu_{n})(o)|_{\mathbb\\N}$ is an increasing bounded sequence, it admits limit $l\leq\\V_{\gamma}(f)(o)$.","Since <formula_start>absolute value of nu A n evaluated at O where n is in naturals<formula_end> is an increasing bounded sequence, it admits limit <formula_start>L less than or equal to V gamma of f O<formula_end>.",wav_path
"Since $(|\nu_{A_{n}}|(O))_{n\in\mathbb\\N}$ is an increasing bounded sequence, it admits limit $\operatorname{L}\leq\\V_{\gamma}(f,O)$."," Since $|\nu_{a_{n}}(o)|_{n\in\mathbb\\N}$ is an unbounded sequence, it admits limit $l\leq\varrho(f/o)$.","Since the absolute value of nu subscript A sub n evaluated at O for n in the set of natural numbers is an increasing bounded sequence, it admits limit L is less than or equal to the gamma variation of f over O.",wav_path
"Since $(|\nu_{A_{n}}|(O))_{n\in\mathbb\\N}$ is an increasing bounded sequence, it admits limit $\operatorname{L}\leq\\V_{\gamma}(f,O)$."," Since $|\nu_{a_{s_{n}}}|(O)$ for $n\in\mathbb\\N$ is an increasing bounded sequence, it admits limit $l\leq|\nu_{f}/O|(\Omega)$.","Since <formula_start>the absolute value of nu subscript A sub n evaluated at O for n in the set of natural numbers<formula_end> is an increasing bounded sequence, it admits limit <formula_start>L is less than or equal to the gamma variation of f over O<formula_end>.",wav_path
"Since $(|\nu_{A_{n}}|(O))_{n\in\mathbb\\N}$ is an increasing bounded sequence, it admits limit $\operatorname{L}\leq\\V_{\gamma}(f,O)$."," Since $|\nu(a_{i})|_{i\in\N}$ is an increasing bounded sequence, it admits a limit $l\leq\\V_{\gamma}(f)$.","Since <formula_start>absolute value of nu A n evaluated at O where n is in naturals<formula_end> is an increasing bounded sequence, it admits limit <formula_start>L less than or equal to V gamma of f O<formula_end>.",wav_path
"We next prove that the Eichler integrals of $\Lambda_{k+1,D}$ exist on $E_{D}$.", We next prove that the Euler integrals of $\lambda_{k+1}(D)$ exist on $E_{D}$.,"We next prove that the Eichler integrals of Lambda sub k plus 1, D exist on E sub D.",wav_path
"We next prove that the Eichler integrals of $\Lambda_{k+1,D}$ exist on $E_{D}$.", We next prove that the Euler integrals of $\lambda_{k+1}(d)$ exist on $E_{d}$.,"We next prove that the Eichler integrals of Lambda sub k plus 1, D exist on E sub D.",wav_path
"Recall that $(a,b)$ belongs to $P_{1}$ and is not incident to $v$."," Recall that $(a,b)\in\\P_{1}$ and is not antistatic to $V$.","Recall that the ordered pair a, b belongs to P sub 1 and is not incident to v.",wav_path
"Recall that $(a,b)$ belongs to $P_{1}$ and is not incident to $v$."," Recall that $(a,b)\in\\P_{1}$ is not incident to $v$.","Recall that the ordered pair a, b belongs to P sub 1 and is not incident to v.",wav_path
"Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing $O_{2}$."," Thus, misleading background uncertainty gives him conclusive grounds for choosing $O_{2}$.","Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing  O subscript two .",wav_path
"Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing $O_{2}$."," Thus, methane background uncertainty gives us conclusive grounds for choosing $\mathrm{O_{2}}$.","Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing <formula_start> oxygen two <formula_end>.",wav_path
"Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing $O_{2}$."," Thus, our background uncertainties give him conclusive grounds for choosing $O_{\text{2}}^{\text{th}}$.","Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing <formula_start> O subscript two <formula_end>.",wav_path
"Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing $O_{2}$."," Thus, the mesosaline background uncertainty gives him conclusive grounds for choosing oxygen $2p$.","Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing <formula_start> oxygen two <formula_end>.",wav_path
"Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing $O_{2}$."," Thus, the methodological background uncertainty gives him conclusive grounds for choosing $O_{2}$.","Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing <formula_start> O subscript two <formula_end>.",wav_path
"Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing $O_{2}$."," Thus, the mesoscopic background uncertainty gives him conclusive grounds for choosing $O_{2}$.","Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing  O subscript two .",wav_path
"Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing $O_{2}$."," Thus, metastability background uncertainty gives him conclusive grounds for choosing $O_{2}$.","Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing <formula_start> O subscript two <formula_end>.",wav_path
"Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing $O_{2}$."," Thus, nitrogen uncertainties give us conclusive grounds for choosing $\mathrm{O_{2}}$.","Thus, Methuselah's background uncertainty gives him conclusive grounds for choosing <formula_start> oxygen two <formula_end>.",wav_path
The forecasting results on node $2$ and node $111$ are shown in Figure ., The forecasting results on node $2$ and node $111$ are shown in Figure--.,The forecasting results on node 2 and node 111 are shown in Figure.,wav_path
The forecasting results on node $2$ and node $111$ are shown in Figure ., Forecasting results on node-$2$ and node-$11$ are shown in Figure~.,The forecasting results on node <formula_start>two<formula_end> and node <formula_start>one hundred eleven<formula_end> are shown in Figure.,wav_path
The forecasting results on node $2$ and node $111$ are shown in Figure ., The forecasting results on node $2$ and node $11$ are shown in Figure--.,The forecasting results on node <formula_start>2<formula_end> and node <formula_start>111<formula_end> are shown in Figure.,wav_path
The forecasting results on node $2$ and node $111$ are shown in Figure ., The forecasting results on node $2$ and node $112$ are shown in Figure--.,The forecasting results on node <formula_start>two<formula_end> and node <formula_start>one hundred eleven<formula_end> are shown in Figure.,wav_path
The forecasting results on node $2$ and node $111$ are shown in Figure ., The forecasting results on node2 and node $111$ are shown in Figure--.,The forecasting results on node <formula_start>2<formula_end> and node <formula_start>111<formula_end> are shown in Figure.,wav_path
The forecasting results on node $2$ and node $111$ are shown in Figure ., The forecasting results on node $2$ and node $111$ are shown in Figure--.,The forecasting results on node 2 and node 111 are shown in Figure.,wav_path
The forecasting results on node $2$ and node $111$ are shown in Figure ., The forecasting results on node $2$ and node $111$ are shown in Figure--.,The forecasting results on node <formula_start>2<formula_end> and node <formula_start>111<formula_end> are shown in Figure.,wav_path
The forecasting results on node $2$ and node $111$ are shown in Figure ., The forecasting results on node $2$ and node $11$ are shown in Figure~.,The forecasting results on node <formula_start>two<formula_end> and node <formula_start>one hundred eleven<formula_end> are shown in Figure.,wav_path
"For a pair of unlabeled crowd images $\{x_{1},x_{2}\}$, if it is observed that the crowd number $y_{1}$ is definitely much greater than $y_{2}$, the ranking label $q_{i,j}$ is set to $1$, and vice versa."," For a pair of unlabeled crowd images $\{x_{1},x_{2}\}$, if it is observed that the crowd number $y_{1}$ is definitely much greater than $y_{2}$, the ranking label $q_{ij}$ is set to 1, and vice versa.","For a pair of unlabeled crowd images the set containing x sub 1 and x sub 2, if it is observed that the crowd number y sub 1 is definitely much greater than y sub 2, the ranking label q sub i j is set to 1, and vice versa.",wav_path
"For a pair of unlabeled crowd images $\{x_{1},x_{2}\}$, if it is observed that the crowd number $y_{1}$ is definitely much greater than $y_{2}$, the ranking label $q_{i,j}$ is set to $1$, and vice versa."," For a pair of unlabeled crowd images $\{x_{1},x_{2}\}$, if it is observed that the crowd number $y_{1}$ is definitely much greater than $y_{2}$, the rank $q_{i,g}$ is set to 1 and vice versa.","For a pair of unlabeled crowd images the set containing x sub 1 and x sub 2, if it is observed that the crowd number y sub 1 is definitely much greater than y sub 2, the ranking label q sub i j is set to 1, and vice versa.",wav_path
"Then $(A^{[3]},+)$ is generated by $px$ and $py$, so $A^{[3]}=pA$."," Then $A^{3}$ with addition is generated by $p\cdot\\x$ and $p\cdot\\y$, so $A^{3}=p\cdot\\A$.","Then A to the power of 3 with addition is generated by p times x and p times y, so A to the power of 3 equals p times A.",wav_path
"Then $(A^{[3]},+)$ is generated by $px$ and $py$, so $A^{[3]}=pA$."," Then $A^{3+}$ is generated by $px$ and $py$, so $A^{3+}=pA$.","Then A to the power of 3 with addition is generated by p times x and p times y, so A to the power of 3 equals p times A.",wav_path
"These assumptions allow us to model the active power transfer through a line $(i,j)$ as $p_{ij}=B_{ij}$ sin $\eta_{ij}$ where $B_{ij}=3X_{ij}^{-1}>0$."," These assumptions allow us to model the active power transfer through a line $i$-$j$ as $P_{i\to\\j}=\sin\theta_{i\to\\j}$, where $P_{i\to\\j}$ is free and $X_{i\to\\j}>0$.",These assumptions allow us to model the active power transfer through a line between nodes i and j as p subscript i j equals B subscript i j sine eta subscript i j where B subscript i j equals 3 times X subscript i j to the power of negative 1 is greater than zero.,wav_path
"These assumptions allow us to model the active power transfer through a line $(i,j)$ as $p_{ij}=B_{ij}$ sin $\eta_{ij}$ where $B_{ij}=3X_{ij}^{-1}>0$."," These assumptions allow us to model the active power transfer through a line between nodes $i$ and $j$ as $P_{ij}=B_{ij}\sin\eta_{ij}$, where $B_{ij}=3X_{ij}^{-1}>0$.",These assumptions allow us to model the active power transfer through a line between nodes i and j as p subscript i j equals B subscript i j sine eta subscript i j where B subscript i j equals 3 times X subscript i j to the power of negative 1 is greater than zero.,wav_path
"Let $F\subset\mathrm{Irr}(G)$ be the support of $c$, $n$ the number of nonzero $c_{ij}^{\pi}$'s."," Let $F\subseteq\\G$ be a reducible representation of $G$ with support $c$ and $\#\{0,c^{\prime}\}_{i,j}^{\prime}$.","Let F is a subset of the irreducible representations of G be the support of c, n the number of nonzero c superscript pi subscript i j's.",wav_path
"Let $F\subset\mathrm{Irr}(G)$ be the support of $c$, $n$ the number of nonzero $c_{ij}^{\pi}$'s."," Let $F\subseteq\\R(G)$ be the support of $c$ and the number of non-zero $c_{i,j}$.","Let <formula_start>F contained in Irr of G<formula_end> be the support of <formula_start>c<formula_end>, <formula_start>n<formula_end> the number of nonzero <formula_start>c pi i j<formula_end>'s.",wav_path
"Let $F\subset\mathrm{Irr}(G)$ be the support of $c$, $n$ the number of nonzero $c_{ij}^{\pi}$'s."," Let $F\subset\mathrm{Irrep}_{G}$ be the support of $C$, and $n_{\pi}$ the number of nonzero $C_{\pi}^{k}$.","Let <formula_start>F is a subset of the irreducible representations of G<formula_end> be the support of <formula_start>c<formula_end>, <formula_start>n<formula_end> the number of nonzero <formula_start>c superscript pi subscript i j<formula_end>'s.",wav_path
"Let $F\subset\mathrm{Irr}(G)$ be the support of $c$, $n$ the number of nonzero $c_{ij}^{\pi}$'s.", Let $S\subseteq\\R(g)$ be the support of $c$ and the number of nonzero $c_{i_{j}}$.,"Let <formula_start>F contained in Irr of G<formula_end> be the support of <formula_start>c<formula_end>, <formula_start>n<formula_end> the number of nonzero <formula_start>c pi i j<formula_end>'s.",wav_path
"Let $F\subset\mathrm{Irr}(G)$ be the support of $c$, $n$ the number of nonzero $c_{ij}^{\pi}$'s.", Let $F\subset\mathrm{Irrep}_{G}$ be the support of $c$ and the number of nonzero $c_{ij}^{\pi}$.,"Let <formula_start>F is a subset of the irreducible representations of G<formula_end> be the support of <formula_start>c<formula_end>, <formula_start>n<formula_end> the number of nonzero <formula_start>c superscript pi subscript i j<formula_end>'s.",wav_path
"Let $F\subset\mathrm{Irr}(G)$ be the support of $c$, $n$ the number of nonzero $c_{ij}^{\pi}$'s.", Let $F\subset\mathrm{Irrep}(G)$ be the support of $c$ and the number of nonzero $C_{ij}^{\pi}$.,"Let F is a subset of the irreducible representations of G be the support of c, n the number of nonzero c superscript pi subscript i j's.",wav_path
"Let $F\subset\mathrm{Irr}(G)$ be the support of $c$, $n$ the number of nonzero $c_{ij}^{\pi}$'s.", Let $F\subseteq\\R(G)$ be the support of $c$ and the number of nonzero $c_{P}$.,"Let <formula_start>F contained in Irr of G<formula_end> be the support of <formula_start>c<formula_end>, <formula_start>n<formula_end> the number of nonzero <formula_start>c pi i j<formula_end>'s.",wav_path
"Let $F\subset\mathrm{Irr}(G)$ be the support of $c$, $n$ the number of nonzero $c_{ij}^{\pi}$'s.", Let $F\subset\mathrm{Irred}(G)$ be the support of $c$ and the number of nonzero $c^{\pi}_{i}$.,"Let <formula_start>F is a subset of the irreducible representations of G<formula_end> be the support of <formula_start>c<formula_end>, <formula_start>n<formula_end> the number of nonzero <formula_start>c superscript pi subscript i j<formula_end>'s.",wav_path
The content of $L$ will be used to generate our raw data as text file., The content of $L$ will be used to generate our raw data at its text file.,The content of L will be used to generate our raw data as text file.,wav_path
The content of $L$ will be used to generate our raw data as text file., The content of $L$ will be used to generate our raw data as text file.,The content of <formula_start>capital L<formula_end> will be used to generate our raw data as text file.,wav_path
The content of $L$ will be used to generate our raw data as text file., The content of $l$ will be used to generate our raw data as text file.,The content of <formula_start>L<formula_end> will be used to generate our raw data as text file.,wav_path
The content of $L$ will be used to generate our raw data as text file., The content of $L$ will be used to generate our raw data as text file.,The content of <formula_start>capital L<formula_end> will be used to generate our raw data as text file.,wav_path
